"05-2022","Maio 2022",174624,10000
"04-2022","Abril 2022",174624,10072
"05-2022","Maio 2022",174624,12
"03-2022","Março 2022",174625,10018
"05-2022","Maio 2022",174625,10000
"04-2022","Abril 2022",174625,10024
"03-2022","Março 2022",174626,10000
"05-2022","Maio 2022",174626,10000
"04-2022","Abril 2022",174626,10000
"07-2021","Julho 2021",176067,12
"08-2021","Agosto 2021",176067,204
"09-2021","Setembro 2021",176067,168
"10-2022","Outubro 2022",243969,30
"08-2016","Agosto 2016",61663,120
"02-2022","Fevereiro 2022",167142,20000
"02-2022","Fevereiro 2022",167143,30000
"02-2022","Fevereiro 2022",167144,20006
"03-2022","Março 2022",175178,10000
"05-2022","Maio 2022",175178,10000
"04-2022","Abril 2022",175178,10000
"03-2022","Março 2022",175179,10006
"05-2022","Maio 2022",175179,10000
"04-2022","Abril 2022",175179,10000
"03-2022","Março 2022",175180,10000
"05-2022","Maio 2022",175180,10000
"04-2022","Abril 2022",175180,10000
"02-2022","Fevereiro 2022",167122,20000
"02-2022","Fevereiro 2022",167123,30000
"02-2022","Fevereiro 2022",167124,20000
"10-2021","Outubro 2021",158158,12000
"09-2021","Setembro 2021",158158,6000
"03-2022","Março 2022",175157,10000
"05-2022","Maio 2022",175157,10000
"04-2022","Abril 2022",175157,10000
"03-2022","Março 2022",175158,10000
"05-2022","Maio 2022",175158,10000
"04-2022","Abril 2022",175158,10000
"03-2022","Março 2022",175159,10000
"05-2022","Maio 2022",175159,10000
"04-2022","Abril 2022",175159,10000
"02-2022","Fevereiro 2022",167110,20000
"02-2022","Fevereiro 2022",167111,30000
"02-2022","Fevereiro 2022",167112,20000
"02-2022","Fevereiro 2022",167113,20000
"02-2022","Fevereiro 2022",167114,30000
"02-2022","Fevereiro 2022",167115,20000
"03-2022","Março 2022",175151,10000
"05-2022","Maio 2022",175151,10000
"04-2022","Abril 2022",175151,10000
"03-2022","Março 2022",175152,10000
"05-2022","Maio 2022",175152,10000
"04-2022","Abril 2022",175152,10000
"03-2022","Março 2022",175153,10000
"05-2022","Maio 2022",175153,10000
"04-2022","Abril 2022",175153,10000
"02-2022","Fevereiro 2022",167116,20000
"02-2022","Fevereiro 2022",167117,30000
"02-2022","Fevereiro 2022",167118,20000
"02-2022","Fevereiro 2022",167119,20000
"02-2022","Fevereiro 2022",167120,30000
"02-2022","Fevereiro 2022",167121,20000
"03-2022","Março 2022",175154,10000
"04-2022","Abril 2022",175154,10006
"05-2022","Maio 2022",175154,10000
"03-2022","Março 2022",175155,10006
"05-2022","Maio 2022",175155,10000
"04-2022","Abril 2022",175155,10000
"03-2022","Março 2022",175156,10000
"05-2022","Maio 2022",175156,10000
"04-2022","Abril 2022",175156,10000
"02-2022","Fevereiro 2022",167136,20006
"02-2022","Fevereiro 2022",167137,30000
"02-2022","Fevereiro 2022",167138,20000
"03-2022","Março 2022",175172,10000
"04-2022","Abril 2022",175172,10036
"05-2022","Maio 2022",175172,10000
"06-2022","Junho 2022",175172,6
"03-2022","Março 2022",175173,10012
"05-2022","Maio 2022",175173,10000
"04-2022","Abril 2022",175173,10000
"03-2022","Março 2022",175174,10000
"05-2022","Maio 2022",175174,10000
"04-2022","Abril 2022",175174,10000
"02-2022","Fevereiro 2022",167107,20000
"02-2022","Fevereiro 2022",167108,30000
"02-2022","Fevereiro 2022",167109,20000
"03-2022","Março 2022",175148,10060
"05-2022","Maio 2022",175148,10000
"04-2022","Abril 2022",175148,10030
"03-2022","Março 2022",175149,10006
"05-2022","Maio 2022",175149,10000
"04-2022","Abril 2022",175149,10000
"03-2022","Março 2022",175150,10000
"04-2022","Abril 2022",175150,10006
"05-2022","Maio 2022",175150,10000
"12-2021","Dezembro 2021",165983,20060
"02-2022","Fevereiro 2022",165983,20018
"01-2022","Janeiro 2022",165983,10006
"12-2021","Dezembro 2021",165984,20120
"02-2022","Fevereiro 2022",165984,30114
"01-2022","Janeiro 2022",165984,10000
"12-2021","Dezembro 2021",165985,20012
"02-2022","Fevereiro 2022",165985,20006
"01-2022","Janeiro 2022",165985,10012
"12-2021","Dezembro 2021",165989,20048
"02-2022","Fevereiro 2022",165989,20006
"01-2022","Janeiro 2022",165989,10000
"12-2021","Dezembro 2021",165990,20000
"02-2022","Fevereiro 2022",165990,30000
"01-2022","Janeiro 2022",165990,10000
"12-2021","Dezembro 2021",165991,20012
"02-2022","Fevereiro 2022",165991,20000
"01-2022","Janeiro 2022",165991,10000
"12-2021","Dezembro 2021",165994,20000
"02-2022","Fevereiro 2022",165994,20000
